# source: refs/1702.05337.pdf page 9, frame (371.31, 568.87, 526.9, 668.51)
# axes: x [0.0, 1.6], y [-0.001, 0.0015]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_sum: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_SD: colour=(0.0, 0.0, 1.0) dash='[ 2.84259 2.84259 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_DD: colour=(0.0, 0.0, 1.0) dash='[ 1.13704 2.27407 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory2_sum: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_SD: colour=(0.037, 0.833, 0.0) dash='[ 2.84259 2.84259 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_DD: colour=(0.037, 0.833, 0.0) dash='[ 1.13704 2.27407 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_sum,xb1_theory1_SD,xb1_theory1_DD,xb1_theory2_sum,xb1_theory2_SD,xb1_theory2_DD
0.0100163,3.07107e-05,1.47276e-05,1.60584e-05,-5.0687e-06,-3.48677e-06,-1.63072e-06
0.0153006,2.53772e-05,1.23711e-05,1.29702e-05,-2.31486e-07,-2.54145e-07,-2.77554e-08
0.0205848,2.13993e-05,1.09291e-05,1.06408e-05,4.33069e-06,2.79811e-06,1.48365e-06
0.0258691,1.7653e-05,9.14371e-06,8.61786e-06,6.58543e-06,4.33717e-06,2.22686e-06
0.0311533,1.51653e-05,8.21067e-06,6.97939e-06,8.57193e-06,5.6935e-06,2.87864e-06
0.0364375,1.22464e-05,6.8575e-06,5.41358e-06,9.57884e-06,6.38257e-06,3.19648e-06
0.0417218,1.03051e-05,6.34183e-06,4.01408e-06,1.01852e-05,6.78187e-06,3.39938e-06
0.047006,7.54025e-06,4.99498e-06,2.62577e-06,9.94614e-06,6.56954e-06,3.35967e-06
0.0522903,4.56005e-06,3.40022e-06,1.22161e-06,9.8103e-06,6.52888e-06,3.26272e-06
0.0575745,3.02728e-06,3.08952e-06,5.13761e-08,9.8103e-06,6.71408e-06,3.09046e-06
0.0628588,1.57421e-06,2.76537e-06,-1.11213e-06,9.03272e-06,6.26451e-06,2.75405e-06
0.068143,-1.41172e-06,1.07536e-06,-2.44647e-06,7.58827e-06,5.27054e-06,2.27688e-06
0.0734272,-4.62569e-06,-7.84889e-07,-3.80829e-06,5.80094e-06,4.13915e-06,1.61982e-06
0.0787115,-6.85488e-06,-1.65014e-06,-5.16079e-06,3.82477e-06,2.93207e-06,8.63676e-07
0.0839957,-8.9054e-06,-2.56015e-06,-6.35427e-06,1.46863e-06,1.44567e-06,8.1145e-09
0.08928,-1.20077e-05,-4.32306e-06,-7.55856e-06,-1.01199e-06,-1.32243e-07,-8.80018e-07
0.0945642,-1.49329e-05,-6.09735e-06,-8.82292e-06,-3.85549e-06,-1.90383e-06,-1.96246e-06
0.0998484,-1.72166e-05,-7.04696e-06,-1.00482e-05,-6.75724e-06,-3.70651e-06,-3.07609e-06
0.105133,-1.9744e-05,-8.37583e-06,-1.1318e-05,-1.02495e-05,-5.91875e-06,-4.32992e-06
0.110417,-2.30516e-05,-1.04745e-05,-1.25385e-05,-1.38227e-05,-8.19218e-06,-5.6053e-06
0.115701,-2.65771e-05,-1.26184e-05,-1.37886e-05,-1.81596e-05,-1.10573e-05,-7.09087e-06
0.120985,-2.9481e-05,-1.44585e-05,-1.50424e-05,-2.24214e-05,-1.38277e-05,-8.5935e-06
0.12627,-3.21592e-05,-1.59235e-05,-1.62362e-05,-2.6348e-05,-1.61755e-05,-1.01722e-05
0.131554,-3.52287e-05,-1.77742e-05,-1.74839e-05,-3.06379e-05,-1.88249e-05,-1.18128e-05
0.136838,-3.88331e-05,-2.02278e-05,-1.86689e-05,-3.58111e-05,-2.22074e-05,-1.36035e-05
0.142122,-4.26338e-05,-2.27459e-05,-1.98466e-05,-4.10298e-05,-2.55726e-05,-1.54622e-05
0.147407,-4.61589e-05,-2.50081e-05,-2.10386e-05,-4.63166e-05,-2.89119e-05,-1.74226e-05
0.152691,-4.96182e-05,-2.73157e-05,-2.22307e-05,-5.18382e-05,-3.24053e-05,-1.94641e-05
0.157975,-5.34215e-05,-2.99584e-05,-2.3394e-05,-5.75885e-05,-3.60488e-05,-2.15847e-05
0.163259,-5.75795e-05,-3.29587e-05,-2.45529e-05,-6.37821e-05,-4.00037e-05,-2.38118e-05
0.168544,-6.16265e-05,-3.60162e-05,-2.56655e-05,-7.02557e-05,-4.41554e-05,-2.61063e-05
0.173828,-6.57296e-05,-3.89819e-05,-2.67525e-05,-7.68529e-05,-4.83168e-05,-2.85349e-05
0.179112,-6.98954e-05,-4.20502e-05,-2.77991e-05,-8.34979e-05,-5.24821e-05,-3.10155e-05
0.184396,-7.43159e-05,-4.54117e-05,-2.8832e-05,-9.06984e-05,-5.70835e-05,-3.36147e-05
0.189681,-7.88925e-05,-4.91136e-05,-2.97965e-05,-9.80129e-05,-6.17743e-05,-3.62384e-05
0.194965,-8.34569e-05,-5.27052e-05,-3.07517e-05,-0.000105638,-6.66512e-05,-3.89861e-05
0.200249,-8.8012e-05,-5.63157e-05,-3.16467e-05,-0.000113302,-7.15526e-05,-4.17493e-05
0.205533,-9.26211e-05,-6.01739e-05,-3.24135e-05,-0.000121374,-7.67174e-05,-4.467e-05
0.210817,-9.74017e-05,-6.41645e-05,-3.31535e-05,-0.000129523,-8.19354e-05,-4.76082e-05
0.216102,-0.000102209,-6.83347e-05,-3.38517e-05,-0.000138097,-8.74479e-05,-5.06427e-05
0.221386,-0.000107135,-7.25937e-05,-3.44675e-05,-0.000146746,-9.30188e-05,-5.37013e-05
0.22667,-0.00011201,-7.69513e-05,-3.50079e-05,-0.000155611,-9.87562e-05,-5.68288e-05
0.231954,-0.000116903,-8.13286e-05,-3.54733e-05,-0.000164635,-0.000104622,-5.99912e-05
0.237239,-0.000121718,-8.58898e-05,-3.58267e-05,-0.000173933,-0.00011071,-6.32143e-05
0.242523,-0.000126533,-9.05164e-05,-3.60427e-05,-0.000183326,-0.000116868,-6.64626e-05
0.247807,-0.00013127,-9.51346e-05,-3.61892e-05,-0.000192823,-0.000123102,-6.97389e-05
0.253091,-0.000135914,-9.97186e-05,-3.61932e-05,-0.000202392,-0.000129403,-7.30058e-05
0.258376,-0.000140421,-0.000104299,-3.607e-05,-0.000212012,-0.00013575,-7.6266e-05
0.26366,-0.000144737,-0.000108839,-3.58279e-05,-0.000221721,-0.000142192,-7.95373e-05
0.268944,-0.000148863,-0.000113508,-3.54377e-05,-0.00023147,-0.000148678,-8.28138e-05
0.274228,-0.000152878,-0.000117968,-3.49291e-05,-0.000241233,-0.000155212,-8.60346e-05
0.279513,-0.000156657,-0.00012237,-3.42867e-05,-0.000250998,-0.000161758,-8.92412e-05
0.284797,-0.000160254,-0.000126751,-3.34546e-05,-0.000260713,-0.000168358,-9.23784e-05
0.290081,-0.000163504,-0.000131149,-3.24768e-05,-0.00027042,-0.000174964,-9.55063e-05
0.295365,-0.000166654,-0.000135204,-3.13386e-05,-0.000279984,-0.000181516,-9.84905e-05
0.30065,-0.000169297,-0.000139192,-3.01671e-05,-0.000289508,-0.000188051,-0.000101455
0.305934,-0.000171588,-0.000143013,-2.85782e-05,-0.000298743,-0.000194465,-0.000104278
0.311218,-0.000173397,-0.00014656,-2.69319e-05,-0.000307888,-0.000200833,-0.000107058
0.316502,-0.000174944,-0.000149857,-2.50721e-05,-0.000316726,-0.000207047,-0.000109695
0.321787,-0.000176056,-0.000152974,-2.30587e-05,-0.00032541,-0.000213186,-0.00011225
0.327071,-0.000176644,-0.000155809,-2.083e-05,-0.00033379,-0.000219174,-0.00011464
0.332355,-0.000176814,-0.000158289,-1.84387e-05,-0.000341907,-0.000225016,-0.00011691
0.337639,-0.000176444,-0.000160489,-1.58552e-05,-0.000349699,-0.000230674,-0.00011903
0.342924,-0.000175593,-0.0001624,-1.31023e-05,-0.000357129,-0.000236153,-0.000120976
0.348208,-0.000174193,-0.000163979,-1.01948e-05,-0.000364265,-0.000241485,-0.00012278
0.353492,-0.000172263,-0.0001652,-7.08855e-06,-0.000370902,-0.000246522,-0.000124372
0.358776,-0.000169783,-0.00016603,-3.75997e-06,-0.000377282,-0.000251406,-0.000125854
0.36406,-0.000166666,-0.000166441,-2.2351e-07,-0.000383029,-0.000255937,-0.000127076
0.369345,-0.000162984,-0.00016626,3.45055e-06,-0.00038858,-0.000260359,-0.000128219
0.374629,-0.000158705,-0.000165991,7.34777e-06,-0.000393274,-0.000264274,-0.000129
0.379913,-0.000153724,-0.000165186,1.13883e-05,-0.000397845,-0.000268117,-0.000129728
0.385197,-0.000147892,-0.000163649,1.56366e-05,-0.000401419,-0.000271326,-0.000130093
0.390482,-0.000141668,-0.00016172,2.00775e-05,-0.000404873,-0.00027446,-0.000130412
0.395766,-0.000134631,-0.000159265,2.4655e-05,-0.000407298,-0.000276965,-0.000130333
0.40105,-0.000126872,-0.000156265,2.94184e-05,-0.000409491,-0.000279322,-0.000130173
0.406334,-0.000118441,-0.000152718,3.43771e-05,-0.000410737,-0.000281072,-0.000129682
0.411619,-0.000109237,-0.000148689,3.9462e-05,-0.000411614,-0.000282581,-0.000129059
0.416903,-9.93038e-05,-0.000144013,4.47213e-05,-0.000411641,-0.000283535,-0.000128131
0.422187,-8.86921e-05,-0.000138788,5.01395e-05,-0.000411139,-0.000284141,-0.000127029
0.427471,-7.73327e-05,-0.000133026,5.57068e-05,-0.000409879,-0.000284247,-0.000125675
0.432756,-6.52753e-05,-0.000126643,6.13929e-05,-0.000407946,-0.000283885,-0.000124096
0.43804,-5.24776e-05,-0.000119703,6.72205e-05,-0.000405389,-0.00028309,-0.000122308
0.443324,-3.89578e-05,-0.000112125,7.31758e-05,-0.000401991,-0.000281731,-0.000120261
0.448608,-2.46657e-05,-0.00010392,7.92615e-05,-0.000398092,-0.000280033,-0.000118059
0.453893,-9.71852e-06,-9.5167e-05,8.54677e-05,-0.000393208,-0.000277644,-0.000115565
0.459177,5.91938e-06,-8.58413e-05,9.17432e-05,-0.000387969,-0.000275005,-0.000112965
0.464461,2.21726e-05,-7.59274e-05,9.81205e-05,-0.000381629,-0.000271597,-0.000110055
0.469745,3.91019e-05,-6.54935e-05,0.000104572,-0.000375082,-0.000268046,-0.000107087
0.47503,5.67365e-05,-5.44344e-05,0.000111171,-0.000367322,-0.000263585,-0.000103763
0.480314,7.49706e-05,-4.27829e-05,0.000117781,-0.000359423,-0.000259021,-0.000100401
0.485598,9.38318e-05,-3.05852e-05,0.000124459,-0.00035032,-0.000253589,-9.67305e-05
0.490882,0.000113323,-1.79061e-05,0.000131209,-0.00034101,-0.000248001,-9.3009e-05
0.496166,0.000133406,-4.60169e-06,0.000138013,-0.000330651,-0.000241621,-8.90299e-05
0.501451,0.000153981,9.17698e-06,0.000144829,-0.00031997,-0.000234988,-8.49823e-05
0.506735,0.000175147,2.34999e-05,0.000151682,-0.00030843,-0.000227679,-8.07513e-05
0.512019,0.000196811,3.83031e-05,0.000158537,-0.000296456,-0.00022003,-7.64259e-05
0.517303,0.000218962,5.35874e-05,0.000165385,-0.000283775,-0.000211828,-7.1947e-05
0.522588,0.000241597,6.93663e-05,0.000172256,-0.000270578,-0.000203206,-6.73715e-05
0.527872,0.000264655,8.55605e-05,0.000179091,-0.000256836,-0.000194142,-6.26944e-05
0.533156,0.000288135,0.000102215,0.000185911,-0.000242495,-0.000184587,-5.79165e-05
0.53844,0.000311985,0.000119269,0.0001927,-0.000227744,-0.000174695,-5.30695e-05
0.543725,0.000336242,0.000136688,0.000199455,-0.000212389,-0.000164277,-4.81366e-05
0.549009,0.000360623,0.000154462,0.000206116,-0.00019678,-0.000153637,-4.31676e-05
0.554293,0.000385306,0.000172522,0.000212737,-0.000180548,-0.000142438,-3.81344e-05
0.559577,0.000410238,0.000190937,0.000219299,-0.00016417,-0.000131108,-3.30863e-05
0.564862,0.000435399,0.000209596,0.000225754,-0.000147184,-0.000119208,-2.79772e-05
0.570146,0.000460583,0.000228446,0.000232134,-0.00013013,-0.000107243,-2.28623e-05
0.57543,0.000486112,0.000247596,0.000238424,-0.00011251,-9.47619e-05,-1.77363e-05
0.580714,0.00051144,0.000266842,0.000244588,-9.48387e-05,-8.22252e-05,-1.26136e-05
0.585999,0.000536874,0.000286199,0.000250615,-7.68313e-05,-6.93323e-05,-7.5129e-06
0.591283,0.000562168,0.000305646,0.000256516,-5.87618e-05,-5.63564e-05,-2.42661e-06
0.596567,0.000587465,0.000325161,0.000262295,-4.04958e-05,-4.31182e-05,2.61413e-06
0.601851,0.000612594,0.00034469,0.000267929,-2.21765e-05,-2.98016e-05,7.62054e-06
0.607136,0.000637531,0.000364159,0.000273397,-3.75774e-06,-1.6339e-05,1.25629e-05
0.61242,0.000662291,0.00038358,0.000278713,1.46692e-05,-2.80986e-06,1.74532e-05
0.617704,0.000686787,0.000402904,0.000283845,3.31059e-05,1.07987e-05,2.22814e-05
0.622988,0.000710947,0.00042209,0.000288822,5.14577e-05,2.44075e-05,2.70248e-05
0.628272,0.000734695,0.000441078,0.000293609,6.97438e-05,3.80166e-05,3.17027e-05
0.633557,0.000758067,0.000459828,0.000298203,8.78464e-05,5.15632e-05,3.6259e-05
0.638841,0.000780986,0.00047835,0.000302624,0.000105859,6.5079e-05,4.07553e-05
0.644125,0.000803348,0.000496518,0.000306809,0.000123548,7.84401e-05,4.50832e-05
0.649409,0.000825181,0.000514365,0.000310814,0.000141145,9.17572e-05,4.93632e-05
0.654694,0.000846395,0.000531813,0.000314582,0.000158292,0.000104804,5.3463e-05
0.659978,0.000867005,0.000548874,0.000318154,0.00017538,0.000117816,5.75393e-05
0.665262,0.000886859,0.000565303,0.000321508,0.000191748,0.000130367,6.13699e-05
0.670546,0.000905983,0.00058134,0.000324641,0.00020803,0.000142862,6.51696e-05
0.675831,0.000924272,0.000596723,0.000327529,0.000223586,0.00015488,6.87072e-05
0.681115,0.000941735,0.000611533,0.000330202,0.000238952,0.00016676,7.21923e-05
0.686399,0.000958323,0.000625697,0.000332625,0.000253595,0.000178116,7.54783e-05
0.691683,0.000974003,0.000639156,0.000334847,0.000267929,0.000189249,7.86745e-05
0.696968,0.000988793,0.00065196,0.000336823,0.000281592,0.000199898,8.16754e-05
0.702252,0.00100257,0.000663969,0.000338556,0.000294769,0.000210183,8.4561e-05
0.707536,0.0010153,0.000675246,0.000340043,0.000307291,0.000219975,8.72905e-05
0.71282,0.00102705,0.000685723,0.000341322,0.000319179,0.000229309,8.9851e-05
0.718105,0.00103774,0.00069533,0.000342364,0.000330508,0.000238239,9.22628e-05
0.723389,0.00104736,0.000704144,0.000343166,0.000341065,0.000246566,9.44982e-05
0.728673,0.00105592,0.000712116,0.000343736,0.000351186,0.000254552,9.66338e-05
0.733957,0.00106337,0.000719251,0.0003441,0.000360375,0.000261824,9.85416e-05
0.739242,0.00106976,0.000725509,0.000344229,0.00036925,0.000268854,0.000100372
0.744526,0.00107503,0.000730814,0.000344127,0.000377017,0.000275017,0.000101974
0.74981,0.0010792,0.000735352,0.000343825,0.000384597,0.000281033,0.000103538
0.755094,0.00108228,0.000739004,0.000343299,0.000390958,0.000286123,0.000104822
0.760379,0.00108425,0.000741707,0.000342545,0.000397184,0.000291107,0.000106077
0.765663,0.00108521,0.000743573,0.00034162,0.000402259,0.000295162,0.000107084
0.770947,0.00108509,0.000744621,0.000340467,0.000407119,0.000299051,0.000108046
0.776231,0.00108394,0.000744822,0.000339104,0.00041098,0.000302168,0.000108803
0.781515,0.00108178,0.000744215,0.000337565,0.0004145,0.000305013,0.000109487
