# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
0.00999437,2.47046e-05,3.07089e-05,5.37278e-05,1.0904e-06,-5.15348e-06,-1.94309e-05
0.0152621,2.05024e-05,2.53406e-05,4.59433e-05,7.60455e-06,-3.30943e-07,-1.40751e-05
0.0205298,1.72978e-05,2.13857e-05,4.01665e-05,1.38882e-05,4.2328e-06,-9.04453e-06
0.0257975,1.425e-05,1.76331e-05,3.51561e-05,1.81163e-05,6.48827e-06,-6.91522e-06
0.0310652,1.22803e-05,1.51257e-05,3.16953e-05,2.2142e-05,8.49711e-06,-5.10112e-06
0.0363329,1.02011e-05,1.22325e-05,2.78481e-05,2.53666e-05,9.52928e-06,-4.53534e-06
0.0416006,8.74613e-06,1.02803e-05,2.51186e-05,2.82988e-05,1.01735e-05,-4.44444e-06
0.0468683,6.87049e-06,7.55391e-06,2.15916e-05,3.05565e-05,9.92286e-06,-5.44895e-06
0.052136,5.01009e-06,4.54375e-06,1.75041e-05,3.29651e-05,9.77376e-06,-6.42671e-06
0.0574037,4.30365e-06,3.00856e-06,1.51774e-05,3.55952e-05,9.77376e-06,-7.36522e-06
0.0626715,3.70316e-06,1.59138e-06,1.3317e-05,3.7766e-05,9.04558e-06,-9.1286e-06
0.0679392,2.0808e-06,-1.34743e-06,9.50393e-06,3.94882e-05,7.60629e-06,-1.16975e-05
0.0732069,3.55843e-07,-4.56345e-06,5.23957e-06,4.10605e-05,5.84221e-06,-1.47046e-05
0.0784746,-6.94775e-07,-6.85026e-06,2.27753e-06,4.25357e-05,3.86761e-06,-1.79956e-05
0.0837423,-1.68633e-06,-8.83766e-06,-5.24498e-07,4.36539e-05,1.53603e-06,-2.17318e-05
0.08901,-3.32369e-06,-1.18939e-05,-4.23383e-06,4.46259e-05,-9.41744e-07,-2.56503e-05
0.0942777,-5.04196e-06,-1.48703e-05,-7.97793e-06,4.54434e-05,-3.7466e-06,-3.00236e-05
0.0995454,-6.24612e-06,-1.71004e-05,-1.09689e-05,4.62252e-05,-6.6271e-06,-3.4502e-05
0.104813,-7.49012e-06,-1.96333e-05,-1.4025e-05,4.66073e-05,-1.008e-05,-3.95232e-05
0.110081,-9.64605e-06,-2.29252e-05,-1.79978e-05,4.69423e-05,-1.35991e-05,-4.46078e-05
0.115349,-1.18953e-05,-2.64614e-05,-2.19631e-05,4.66288e-05,-1.79533e-05,-5.05274e-05
0.120616,-1.39945e-05,-2.93644e-05,-2.52539e-05,4.63226e-05,-2.22539e-05,-5.63866e-05
0.125884,-1.59394e-05,-3.20463e-05,-2.82861e-05,4.60719e-05,-2.614e-05,-6.17785e-05
0.131152,-1.83849e-05,-3.50352e-05,-3.12953e-05,4.55693e-05,-3.02988e-05,-6.7429e-05
0.136419,-2.1605e-05,-3.85701e-05,-3.49929e-05,4.41592e-05,-3.54399e-05,-7.40109e-05
0.141687,-2.50688e-05,-4.24177e-05,-3.86103e-05,4.2629e-05,-4.06296e-05,-8.05711e-05
0.146955,-2.85532e-05,-4.59349e-05,-4.19378e-05,4.08437e-05,-4.59223e-05,-8.70852e-05
0.152222,-3.22103e-05,-4.93325e-05,-4.50435e-05,3.87552e-05,-5.13992e-05,-9.37312e-05
0.15749,-3.651e-05,-5.30754e-05,-4.82607e-05,3.62493e-05,-5.71296e-05,-0.000100559
0.162758,-4.14461e-05,-5.72238e-05,-5.17149e-05,3.32361e-05,-6.32404e-05,-0.000107684
0.168026,-4.68007e-05,-6.13077e-05,-5.50802e-05,2.97576e-05,-6.96999e-05,-0.000115083
0.173293,-5.2392e-05,-6.53699e-05,-5.81828e-05,2.58506e-05,-7.62316e-05,-0.000122359
0.178561,-5.83641e-05,-6.95435e-05,-6.11877e-05,2.16856e-05,-8.28068e-05,-0.000129562
0.183829,-6.50964e-05,-7.38789e-05,-6.43326e-05,1.66754e-05,-8.99336e-05,-0.000137156
0.189096,-7.24465e-05,-7.84138e-05,-6.74812e-05,1.13447e-05,-9.72695e-05,-0.0001449
0.194364,-8.02565e-05,-8.29829e-05,-7.04551e-05,5.21632e-06,-0.000104833,-0.000152584
0.199632,-8.85389e-05,-8.75585e-05,-7.31827e-05,-1.07796e-06,-0.000112445,-0.000160257
0.2049,-9.72694e-05,-9.20698e-05,-7.56981e-05,-8.39639e-06,-0.000120468,-0.000167967
0.210167,-0.000106883,-9.68994e-05,-7.82095e-05,-1.58336e-05,-0.000128539,-0.000175686
0.215435,-0.00011714,-0.000101678,-8.07036e-05,-2.45074e-05,-0.000137089,-0.000183609
0.220703,-0.000127902,-0.000106605,-8.29937e-05,-3.33347e-05,-0.000145675,-0.000191502
0.22597,-0.00013922,-0.000111443,-8.509e-05,-4.3169e-05,-0.000154506,-0.000199205
0.231238,-0.000151339,-0.000116309,-8.70016e-05,-5.33315e-05,-0.000163432,-0.00020696
0.236506,-0.000163986,-0.000121134,-8.8765e-05,-6.45744e-05,-0.00017267,-0.000214885
0.241774,-0.000177261,-0.000125912,-9.03725e-05,-7.62022e-05,-0.000181998,-0.000222709
0.247041,-0.000191085,-0.000130644,-9.17478e-05,-8.8598e-05,-0.000191505,-0.000230332
0.252309,-0.000205327,-0.00013533,-9.2703e-05,-0.000101476,-0.000201046,-0.000237812
0.257577,-0.000220039,-0.00013984,-9.33642e-05,-0.000114973,-0.00021063,-0.00024511
0.262844,-0.000235377,-0.000144152,-9.3797e-05,-0.000129128,-0.000220281,-0.000252255
