# source: refs/1311.4561.pdf page 10, frame (164.88, 95.67, 447.81, 305.99)
# axes: x [0.0, 0.918753], y [-0.0132213, 0.1800165]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve b1: colour=(0.247, 0.24, 0.6) dash='[] 0' points=578 x=[0.0100, 0.9000]
# x,b1
0.00999203,0.129359
0.0129687,0.107025
0.0159453,0.0901291
0.018922,0.0779119
0.0218987,0.0695258
0.0248753,0.0641191
0.027852,0.0608633
0.0308286,0.0585818
0.0338053,0.0561106
0.0367819,0.0541429
0.0397586,0.0525191
0.0427352,0.0509647
0.0457119,0.049483
0.0486886,0.0480976
0.0516652,0.0467688
0.0546419,0.0454461
0.0576185,0.0441567
0.0605952,0.0428758
0.0635718,0.0415948
0.0665485,0.0403388
0.0695251,0.0390879
0.0725018,0.037837
0.0754784,0.0365861
0.0784551,0.0353352
0.0814318,0.0340846
0.0844084,0.0329191
0.0873851,0.0317536
0.0903617,0.0305881
0.0933384,0.0294227
0.096315,0.0282572
0.0992917,0.0270917
0.102268,0.0259796
0.105245,0.0249174
0.108222,0.0238795
0.111198,0.0228651
0.114175,0.0218918
0.117152,0.0209443
0.120128,0.0200264
0.123105,0.0191532
0.126082,0.0183155
0.129058,0.0175033
0.132035,0.0167379
0.135012,0.0160264
0.137988,0.0153315
0.140965,0.0146925
0.143942,0.014092
0.146918,0.0135346
0.149895,0.0130215
0.152871,0.0125551
0.155848,0.0121073
0.158825,0.0117111
0.161801,0.0113462
0.164778,0.0110161
0.167755,0.0107191
0.170731,0.0104536
0.173708,0.0102016
0.176685,0.00998034
0.179661,0.00978064
0.182638,0.00958903
0.185615,0.00941727
0.188591,0.00925669
0.191568,0.00910116
0.194545,0.00895264
0.197521,0.00880803
0.200498,0.00866423
0.203475,0.00851918
0.206451,0.0083707
0.209428,0.00822004
0.212405,0.00806176
0.215381,0.00789534
0.218358,0.00772476
0.221335,0.00754296
0.224311,0.00735027
0.227288,0.00715206
0.230265,0.00694079
0.233241,0.0067179
0.236218,0.0064893
0.239194,0.00623884
0.242171,0.00598839
0.245148,0.00573793
0.248124,0.00547046
0.251101,0.00519274
0.254078,0.00490985
0.257054,0.0046135
0.260031,0.0043165
0.263008,0.00401925
0.265984,0.00370557
0.268961,0.00339189
0.271938,0.00307821
0.274914,0.00276453
0.277891,0.00245085
0.280868,0.00213717
0.283844,0.00182587
0.286821,0.00151591
0.289798,0.00120594
0.292774,0.000895975
0.295751,0.000586009
0.298728,0.000276044
0.301704,-2.88956e-05
0.304681,-0.000321925
0.307658,-0.000607813
0.310634,-0.000886034
0.313611,-0.00115608
0.316588,-0.00142613
0.319564,-0.00168849
0.322541,-0.00193863
0.325517,-0.00217755
