# source: refs/1311.4561.pdf page 11, frame (167.02, 95.76, 447.81, 305.77)
# axes: x [0.1, 0.712473], y [-0.0061126, 0.027875]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve b1_ref35: colour=(0.6, 0.24, 0.563) dash='[] 0' points=541 x=[0.1007, 0.7000]
# curve b1_q2_1p17: colour=(0.24, 0.353, 0.6) dash='[] 0' points=501 x=[0.1007, 0.7000]
# curve b1_q2_1p76: colour=(0.6, 0.547, 0.24) dash='[] 0' points=493 x=[0.1007, 0.7000]
# curve b1_q2_2p12: colour=(0.6, 0.24, 0.443) dash='[] 0' points=488 x=[0.1007, 0.7000]
# curve b1_q2_3p25: colour=(0.247, 0.24, 0.6) dash='[] 0' points=470 x=[0.1007, 0.7000]
# x,b1_ref35,b1_q2_1p17,b1_q2_1p76,b1_q2_2p12,b1_q2_3p25
0.100735,0.0202957,0.023592,0.0247021,0.0252457,0.0265459
0.102739,0.0196689,0.022851,0.023962,0.0245079,0.0258169
0.104743,0.0190647,0.0221309,0.0232405,0.0237874,0.0251018
0.106747,0.0184796,0.0214296,0.022536,0.0230828,0.0244002
0.108752,0.0179173,0.0207506,0.0218517,0.0223972,0.0237146
0.110756,0.0173549,0.0200716,0.0211673,0.0217117,0.023029
0.11276,0.0168075,0.0194082,0.0204974,0.0210399,0.0223554
0.114764,0.0162881,0.018774,0.0198544,0.0203938,0.0217044
0.116768,0.0157901,0.0181626,0.0192328,0.0197683,0.0210715
0.118772,0.0152994,0.017567,0.0186262,0.0191573,0.020452
0.120777,0.0148317,0.0170024,0.018049,0.0185747,0.0198587
0.122781,0.0143835,0.0164379,0.0174718,0.0179922,0.0192654
0.124785,0.013943,0.015877,0.0168982,0.0174133,0.0186753
0.126789,0.0135259,0.0153558,0.0163626,0.0168714,0.0181197
0.128793,0.0131283,0.0148566,0.0158483,0.0163504,0.017584
0.130797,0.0127397,0.0143679,0.0153441,0.0158392,0.0170576
0.132802,0.0123738,0.0139055,0.0148658,0.0153535,0.0165556
0.134806,0.0120277,0.0134657,0.0144095,0.0148897,0.0160746
0.13681,0.0116906,0.0130362,0.0139633,0.0144358,0.0156031
0.138814,0.0113766,0.0126335,0.0135435,0.0140079,0.0151569
0.140818,0.0110822,0.0122535,0.0131461,0.0136023,0.0147324
0.142822,0.0107968,0.0118842,0.0127593,0.0132072,0.0143182
0.144827,0.0105337,0.0115407,0.012398,0.0128374,0.0139287
0.146831,0.01029,0.0112198,0.0120592,0.0124901,0.0135613
0.148835,0.0100551,0.0109091,0.0117306,0.0121529,0.0132039
0.150839,0.00984152,0.0106234,0.0114268,0.0118404,0.0128709
0.152843,0.00964155,0.0103593,0.0111447,0.0115496,0.0125594
0.154847,0.00945784,0.0101031,0.0108705,0.0112666,0.0122557
0.156852,0.00929,0.00987125,0.0106208,0.0110081,0.0119763
0.158856,0.009138,0.00965812,0.0103897,0.0107683,0.0117155
0.16086,0.00899272,0.00945299,0.0101668,0.0105366,0.0114629
0.162864,0.00886481,0.00926877,0.0099648,0.010326,0.0112313
0.164868,0.00874764,0.00909738,0.00977913,0.0101316,0.0110161
0.166872,0.00864215,0.00894023,0.0096013,0.00994515,0.0108088
0.168877,0.00854803,0.00879689,0.00944071,0.009776,0.010619
0.170881,0.00846446,0.00866675,0.00929356,0.00962033,0.0104428
0.172885,0.00838568,0.0085426,0.00915251,0.00947085,0.0102729
0.174889,0.00831772,0.00843218,0.00902546,0.00933547,0.0101173
0.176893,0.00825583,0.00832971,0.00890872,0.0092105,0.00997232
0.178897,0.00820065,0.00823613,0.00879704,0.00909069,0.0098326
0.180902,0.00815068,0.00814976,0.00869441,0.00898003,0.00970231
0.182906,0.0081056,0.00807052,0.00859953,0.00887725,0.0095802
0.18491,0.00806353,0.00799583,0.00850937,0.00877929,0.00946311
0.186914,0.00802388,0.00792507,0.00842332,0.00868555,0.00935045
0.188918,0.00798677,0.00785913,0.00834251,0.0085971,0.00924338
0.190922,0.00795093,0.0077962,0.00826488,0.00851209,0.0091401
0.192927,0.00791526,0.00773515,0.00818955,0.00842951,0.00903962
0.194931,0.00787955,0.0076755,0.00811593,0.00834875,0.00894125
0.196935,0.0078426,0.00761585,0.00804231,0.00826799,0.00884287
0.198939,0.00780489,0.00755638,0.00796909,0.00818773,0.00874412
0.200943,0.00776465,0.00749649,0.00789586,0.00810777,0.00864489
0.202947,0.00772102,0.00743485,0.0078213,0.00802657,0.00854565
0.204951,0.00767569,0.00737223,0.00774585,0.00794322,0.00844642
0.206956,0.00762591,0.0073068,0.00766797,0.00785778,0.00834718
0.20896,0.00757136,0.00723796,0.00758699,0.00777233,0.00824794
0.210964,0.00751408,0.0071671,0.00750418,0.00768405,0.00814515
0.212968,0.00745119,0.00709192,0.0074174,0.00759129,0.00803739
0.214972,0.00738168,0.00701151,0.00732575,0.00749379,0.00792535
0.216976,0.00730997,0.00692937,0.0072324,0.00739469,0.00780963
0.218981,0.00723096,0.0068412,0.00713346,0.00729016,0.00768841
0.220985,0.00714499,0.00674722,0.00702896,0.00718022,0.00756719
0.222989,0.00705646,0.00665109,0.00692246,0.00706834,0.00744439
0.224993,0.00695993,0.00654807,0.00680946,0.00695014,0.00731311
0.226997,0.0068565,0.00643914,0.00669079,0.0068264,0.00717667
0.229001,0.00674998,0.00632573,0.00656785,0.00669851,0.00703633
0.231006,0.0066355,0.00620352,0.00643657,0.00656249,0.00688836
0.23301,0.00651409,0.00608132,0.00630529,0.00642647,0.0067404
0.235014,0.00638967,0.00595665,0.00617165,0.00628814,0.00658679
0.237018,0.00625752,0.00582238,0.00602887,0.0061409,0.00641926
0.239022,0.00611884,0.0056822,0.00588045,0.00598814,0.00625173
0.241026,0.00597463,0.00553705,0.00572727,0.00583074,0.00608419
0.243031,0.00582307,0.00538528,0.00556778,0.0056672,0.00591666
0.245035,0.0056715,0.00523351,0.0054083,0.00550365,0.00574913
0.247039,0.00551578,0.00507248,0.00524001,0.00533154,0.00557063
0.249043,0.00535195,0.00490114,0.00506192,0.00514989,0.00537994
0.251047,0.00518237,0.0047298,0.00488383,0.00496824,0.00518924
0.253051,0.00500914,0.00455847,0.00470573,0.0047866,0.00499854
0.255056,0.00482931,0.00438713,0.00452764,0.00460495,0.00480784
0.25706,0.00464947,0.00421579,0.00434955,0.0044233,0.00461714
0.259064,0.00446728,0.00404132,0.00416852,0.00423881,0.00442384
0.261068,0.0042731,0.00385092,0.00397255,0.00403987,0.00421732
0.263072,0.00407892,0.00366053,0.00377658,0.00384093,0.0040108
0.265076,0.00388474,0.00347013,0.00358061,0.00364199,0.00380428
0.267081,0.00369056,0.00327974,0.00338464,0.00344305,0.00359776
0.269085,0.00349639,0.00308934,0.00318867,0.00324411,0.00339124
0.271089,0.00329925,0.00289633,0.00299037,0.00304299,0.00318289
0.273093,0.00309441,0.00269652,0.002786,0.00283618,0.0029698
0.275097,0.00288957,0.0024967,0.00258163,0.00262937,0.00275671
0.277101,0.00268473,0.00229689,0.00237725,0.00242256,0.00254363
0.279106,0.00247989,0.00209707,0.00217288,0.00221575,0.00233054
0.28111,0.00227505,0.00189725,0.00196851,0.00200895,0.00211745
0.283114,0.00207021,0.00169744,0.00176414,0.00180214,0.00190436
0.285118,0.00186508,0.00149798,0.00156093,0.0015969,0.00169392
0.287122,0.00165991,0.00129857,0.00135785,0.00139184,0.00148378
0.289126,0.00145474,0.00109916,0.00115478,0.00118678,0.00127364
0.291131,0.00124958,0.000899745,0.000951698,0.000981726,0.0010635
0.293135,0.00104441,0.000700331,0.000748621,0.000776668,0.00085336
0.295139,0.000839249,0.000500918,0.000545545,0.00057161,0.00064322
0.297143,0.000639577,0.000307196,0.000348622,0.000372956,0.000440085
0.299147,0.0004431,0.000116782,0.000155279,0.000178027,0.000241024
0.301151,0.000246622,-7.36308e-05,-3.80645e-05,-1.69027e-05,4.19618e-05
0.303156,5.01449e-05,-0.000264044,-0.000231408,-0.000211832,-0.0001571
0.30516,-0.000146333,-0.000454457,-0.000424751,-0.000406762,-0.000356162
0.307164,-0.00034281,-0.000644871,-0.000618095,-0.000601691,-0.000555224
0.309168,-0.000526495,-0.000822483,-0.000798148,-0.000783065,-0.000740085
0.311172,-0.000706785,-0.000996698,-0.000974675,-0.000960842,-0.000921178
0.313176,-0.000887075,-0.00117091,-0.0011512,-0.00113862,-0.00110227
0.315181,-0.00106736,-0.00134513,-0.00132773,-0.0013164,-0.00128336
0.317185,-0.00124765,-0.00151934,-0.00150426,-0.00149417,-0.00146446
0.319189,-0.00142794,-0.00169356,-0.00168078,-0.00167195,-0.00164555
0.321193,-0.00160304,-0.00186265,-0.00185206,-0.00184445,-0.00182108
0.323197,-0.00176945,-0.00202307,-0.00201435,-0.00200783,-0.00198727
0.325201,-0.00193109,-0.0021788,-0.00217195,-0.00216643,-0.00214857
0.327206,-0.00208828,-0.00233011,-0.00232504,-0.00232049,-0.00230519
0.32921,-0.00224108,-0.00247706,-0.00247369,-0.00247005,-0.0024572
0.331214,-0.00239387,-0.00262402,-0.00262234,-0.00261961,-0.00260921
0.333218,-0.0025427,-0.00276713,-0.00276697,-0.00276516,-0.0027571
0.335222,-0.00268505,-0.00290381,-0.00290514,-0.00290419,-0.0028983
0.337226,-0.00282188,-0.00303504,-0.00303778,-0.00303762,-0.00303379
0.339231,-0.00295703,-0.00316452,-0.00316868,-0.00316926,-0.00316754
0.341235,-0.0030861,-0.00328816,-0.00329357,-0.00329489,-0.00329504
0.343239,-0.00320999,-0.00340661,-0.00341326,-0.00341527,-0.00341724
0.345243,-0.00333195,-0.00352315,-0.00353103,-0.00353367,-0.00353746
0.347247,-0.00344761,-0.00363358,-0.00364249,-0.00364583,-0.00365128
0.349251,-0.00355816,-0.00373892,-0.00374893,-0.00375283,-0.00375988
0.351256,-0.00366637,-0.00384195,-0.003853,-0.00385748,-0.00386605
0.35326,-0.00376856,-0.00393909,-0.00395109,-0.00395606,-0.00396614
0.355264,-0.00386565,-0.00403112,-0.00404403,-0.00404956,-0.004061
0.357268,-0.00395953,-0.00412006,-0.00413382,-0.00413987,-0.00415259
0.359272,-0.00404865,-0.00420437,-0.00421895,-0.00422543,-0.00423946
0.361276,-0.0041321,-0.00428305,-0.00429842,-0.00430531,-0.00432053
0.363281,-0.00421249,-0.00435869,-0.00437477,-0.00438213,-0.00439847
0.365285,-0.00428778,-0.00442939,-0.0044461,-0.00445388,-0.00447131
0.367289,-0.00435769,-0.00449479,-0.00451217,-0.0045203,-0.00453874
0.369293,-0.00442488,-0.00455754,-0.00457554,-0.00458397,-0.00460338
0.371297,-0.00448665,-0.00461491,-0.00463345,-0.00464226,-0.00466259
0.373301,-0.0045444,-0.00466827,-0.00468739,-0.00469651,-0.00471771
0.375306,-0.00459726,-0.00471699,-0.00473655,-0.00474598,-0.00476795
0.37731,-0.00464647,-0.00476199,-0.00478202,-0.00479173,-0.00481445
0.379314,-0.00469051,-0.00480261,-0.00482308,-0.00483302,-0.00485649
0.381318,-0.00473054,-0.00483872,-0.00485957,-0.00486974,-0.00489392
0.383322,-0.00476777,-0.00487137,-0.00489262,-0.00490305,-0.00492779
0.385326,-0.00480009,-0.00489991,-0.00492144,-0.00493206,-0.00495742
0.387331,-0.00482807,-0.00492413,-0.004946,-0.00495676,-0.00498267
0.389335,-0.00485257,-0.00494495,-0.00496713,-0.0049781,-0.00500444
0.391339,-0.00487301,-0.00496181,-0.00498421,-0.00499534,-0.00502222
0.393343,-0.00488959,-0.0049749,-0.00499755,-0.00500877,-0.00503607
0.395347,-0.0049025,-0.00498429,-0.00500714,-0.00501857,-0.00504628
0.397351,-0.00491162,-0.0049901,-0.0050132,-0.00502471,-0.00505276
0.399356,-0.00491721,-0.00499241,-0.00501563,-0.00502729,-0.00505566
0.40136,-0.00491928,-0.00499126,-0.0050146,-0.00502634,-0.00505504
0.403364,-0.00491794,-0.00498675,-0.00501022,-0.00502203,-0.00505101
0.405368,-0.00491316,-0.00497888,-0.00500247,-0.00501435,-0.00504359
0.407372,-0.00490512,-0.00496791,-0.00499157,-0.00500357,-0.00503298
0.409376,-0.00489389,-0.00495373,-0.00497745,-0.00498954,-0.00501908
0.411381,-0.00487932,-0.00493633,-0.0049601,-0.00497218,-0.00500197
0.413385,-0.00486213,-0.00491634,-0.00494011,-0.00495227,-0.00498217
0.415389,-0.00484183,-0.00489332,-0.00491717,-0.00492928,-0.00495933
0.417393,-0.00481836,-0.00486725,-0.00489105,-0.00490323,-0.00493339
0.419397,-0.00479253,-0.0048388,-0.00486265,-0.00487484,-0.00490503
0.421401,-0.00476378,-0.00480755,-0.00483139,-0.00484357,-0.00487377
0.423406,-0.004732,-0.00477333,-0.00479707,-0.00480925,-0.0048395
0.42541,-0.00469867,-0.0047376,-0.00476129,-0.00477348,-0.00480375
0.427414,-0.00466227,-0.0046989,-0.00472251,-0.00473469,-0.00476497
0.429418,-0.00462327,-0.00465768,-0.00468119,-0.00469337,-0.00472359
0.431422,-0.00458276,-0.00461493,-0.0046384,-0.00465054,-0.00468074
0.433426,-0.00453963,-0.0045697,-0.00459302,-0.00460513,-0.00463533
0.435431,-0.00449384,-0.00452185,-0.00454508,-0.00455714,-0.00458724
0.437435,-0.00444606,-0.00447208,-0.0044952,-0.00450721,-0.00453722
0.439439,-0.00439563,-0.00441973,-0.00444273,-0.00445467,-0.00448459
0.441443,-0.0043452,-0.00436738,-0.00439027,-0.00440213,-0.00443195
0.443447,-0.00429408,-0.00431435,-0.00433708,-0.00434895,-0.00437862
0.445451,-0.00423943,-0.0042579,-0.00428051,-0.00429232,-0.00432183
0.447456,-0.00418295,-0.00419971,-0.00422216,-0.0042339,-0.00426326
0.44946,-0.00412555,-0.00414065,-0.00416291,-0.00417456,-0.00420378
0.451464,-0.00406513,-0.00407864,-0.00410073,-0.00411231,-0.00414136
0.453468,-0.00400471,-0.00401662,-0.00403855,-0.00405005,-0.00407893
0.455472,-0.00394429,-0.00395461,-0.00397636,-0.0039878,-0.00401651
0.457476,-0.00387892,-0.00388786,-0.00390944,-0.00392078,-0.00394929
0.459481,-0.00381333,-0.0038209,-0.0038423,-0.00385353,-0.00388184
0.461485,-0.00374774,-0.00375394,-0.00377516,-0.00378629,-0.00381439
0.463489,-0.00368214,-0.00368698,-0.00370802,-0.00371905,-0.00374695
0.465493,-0.00361655,-0.00362001,-0.00364087,-0.00365181,-0.0036795
0.467497,-0.00355046,-0.00355259,-0.00357326,-0.00358409,-0.00361158
0.469501,-0.00348009,-0.00348111,-0.00350158,-0.0035123,-0.00353954
0.471506,-0.00340972,-0.00340963,-0.00342989,-0.00344051,-0.0034675
0.47351,-0.00333935,-0.00333816,-0.0033582,-0.00336871,-0.00339545
0.475514,-0.00326898,-0.00326668,-0.00328652,-0.00329692,-0.00332341
0.477518,-0.00319861,-0.00319521,-0.00321483,-0.00322513,-0.00325137
0.479522,-0.00312824,-0.00312373,-0.00314314,-0.00315333,-0.00317933
0.481526,-0.00305606,-0.00305061,-0.0030698,-0.00307988,-0.00310561
0.483531,-0.00298329,-0.00297695,-0.00299592,-0.0030059,-0.00303135
0.485535,-0.00291052,-0.0029033,-0.00292203,-0.00293192,-0.00295709
0.487539,-0.00283774,-0.00282964,-0.00284815,-0.00285794,-0.00288283
0.489543,-0.00276497,-0.00275599,-0.00277427,-0.00278396,-0.00280858
0.491547,-0.0026922,-0.00268234,-0.00270039,-0.00270997,-0.00273432
0.493551,-0.00261918,-0.0026086,-0.00262643,-0.00263589,-0.00265996
0.495556,-0.00254611,-0.00253484,-0.00255246,-0.00256179,-0.00258559
0.49756,-0.00247304,-0.00246109,-0.00247848,-0.00248769,-0.00251122
0.499564,-0.00239996,-0.00238733,-0.00240451,-0.00241358,-0.00243684
0.501568,-0.00232689,-0.00231358,-0.00233054,-0.00233948,-0.00236247
0.503572,-0.00225385,-0.00223986,-0.0022566,-0.00226542,-0.00228813
0.505576,-0.00218224,-0.00216772,-0.00218422,-0.00219293,-0.00221536
0.507581,-0.00211063,-0.00209557,-0.00211183,-0.00212044,-0.00214258
0.509585,-0.00203901,-0.00202342,-0.00203945,-0.00204795,-0.00206981
0.511589,-0.0019674,-0.00195128,-0.00196707,-0.00197546,-0.00199703
0.513593,-0.00189579,-0.00187913,-0.00189468,-0.00190297,-0.00192426
0.515597,-0.00182418,-0.00180699,-0.0018223,-0.00183048,-0.00185148
0.517601,-0.00175467,-0.00173702,-0.00175211,-0.00176018,-0.0017809
0.519606,-0.00168598,-0.00166789,-0.00168277,-0.00169074,-0.00171116
0.52161,-0.00161728,-0.00159877,-0.00161342,-0.0016213,-0.00164143
0.523614,-0.00154859,-0.00152964,-0.00154408,-0.00155185,-0.00157169
0.525618,-0.00147989,-0.00146051,-0.00147474,-0.00148241,-0.00150195
0.527622,-0.0014112,-0.00139139,-0.0014054,-0.00141296,-0.00143222
0.529626,-0.00134599,-0.0013258,-0.0013396,-0.00134705,-0.00136604
0.531631,-0.00128144,-0.00126088,-0.00127447,-0.00128181,-0.00130054
0.533635,-0.00121688,-0.00119597,-0.00120935,-0.00121656,-0.00123504
0.535639,-0.00115233,-0.00113105,-0.00114422,-0.00115132,-0.00116954
0.537643,-0.00108778,-0.00106613,-0.00107909,-0.00108607,-0.00110403
0.539647,-0.00102322,-0.00100122,-0.00101396,-0.00102083,-0.00103853
0.541651,-0.000961053,-0.000938677,-0.000951217,-0.000957971,-0.00097541
0.543656,-0.000901604,-0.000878852,-0.000891191,-0.000897843,-0.000915006
0.54566,-0.000842155,-0.000819026,-0.000831164,-0.000837715,-0.000854602
0.547664,-0.000782706,-0.0007592,-0.000771138,-0.000777588,-0.000794197
0.549668,-0.000723257,-0.000699374,-0.000711111,-0.00071746,-0.000733793
0.551672,-0.000663808,-0.000639549,-0.000651085,-0.000657332,-0.000673389
0.553676,-0.000607182,-0.000582515,-0.000593855,-0.000600001,-0.000615798
