# source: refs/nucl-th_0605061.pdf page 7, frame (82.43, 55.92, 296.11, 187.99)
# axes: x [0.0, 1.0], y [0.55, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_unpol: colour=(0.182, 0.19, 0.573) dash='[ 1.50769 ] 0' points=252 x=[0.0275, 0.8831]
# curve R_pol_eq26: colour=(0.93, 0.111, 0.141) dash='[] 0' points=251 x=[0.0275, 0.8710]
# curve R_pol_eq23: colour=(0.93, 0.111, 0.141) dash='[ 0 1.50769 ] 0' points=254 x=[0.0275, 0.9078]
# x,R_unpol,R_pol_eq26,R_pol_eq23
0.027522,1.00622,0.920264,0.919147
0.0303429,1.00963,0.920607,0.9195
0.0331638,1.01099,0.920972,0.919867
0.0359848,1.01171,0.921338,0.92024
0.0388057,1.01244,0.921703,0.920606
0.0416266,1.01316,0.92212,0.921032
0.0444475,1.01387,0.922406,0.921316
0.0472684,1.01457,0.92275,0.921657
0.0500893,1.01527,0.923086,0.921994
0.0529102,1.01595,0.923417,0.922326
0.0557312,1.01662,0.923738,0.922645
0.0585521,1.01727,0.924057,0.922965
0.061373,1.0179,0.924366,0.923273
0.0641939,1.01851,0.92467,0.923577
0.0670148,1.01909,0.924958,0.923858
0.0698357,1.01966,0.925261,0.924169
0.0726566,1.02019,0.925553,0.924457
0.0754776,1.0207,0.92581,0.924712
0.0782985,1.02118,0.926113,0.925019
0.0811194,1.02164,0.926385,0.925296
0.0839403,1.02206,0.926657,0.925564
0.0867612,1.02246,0.926916,0.925829
0.0895821,1.02283,0.927177,0.926093
0.092403,1.02316,0.927432,0.926353
0.095224,1.02348,0.927678,0.926605
0.0980449,1.02376,0.927922,0.926849
0.100866,1.02401,0.928155,0.927102
0.103687,1.02424,0.928391,0.927337
0.106508,1.02443,0.928616,0.927572
0.109329,1.0246,0.928839,0.927809
0.112149,1.02475,0.929052,0.928036
0.11497,1.02486,0.929262,0.928257
0.117791,1.02495,0.929465,0.928479
0.120612,1.02501,0.929664,0.928693
