# source: refs/1806.00481.pdf page 9, frame (207.03, 116.67, 403.28, 258.42)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_unpol: colour=(0.0, 0.0, 1.0) dash='[] 0' points=61 x=[0.0015, 0.7392]
# curve R_pol: colour=(0.75, 0.0, 0.75) dash='[ 2.4 2.4 ] 0' points=67 x=[0.0015, 0.7392]
# x,R_unpol,R_pol
0.00151957,0.968191,0.880784
0.00398659,0.967462,0.893372
0.00645361,0.967847,0.897905
0.00892062,0.968629,0.900771
0.0113876,0.969575,0.902921
0.0138547,0.97066,0.904665
0.0163217,0.971744,0.906191
0.0187887,0.972821,0.907457
0.0212557,0.973864,0.908631
0.0237227,0.974908,0.909677
0.0261897,0.975951,0.910673
0.0286568,0.976891,0.911548
0.0311238,0.977783,0.912423
0.0335908,0.978675,0.913189
0.0360578,0.979439,0.913928
0.0385248,0.98018,0.914667
0.0409918,0.980884,0.915326
0.0434589,0.981478,0.915954
0.0459259,0.982073,0.916582
0.0483929,0.982606,0.917195
0.0508599,0.983062,0.91773
0.0533269,0.983518,0.918266
0.0557939,0.983872,0.918801
0.058261,0.9842,0.919337
0.060728,0.984527,0.919806
0.063195,0.984761,0.920262
0.065662,0.984968,0.920717
0.068129,0.985175,0.921172
0.070596,0.9853,0.921628
0.0730631,0.985396,0.92202
0.0755301,0.985493,0.922406
0.0779971,0.985553,0.922793
0.0804641,0.985545,0.92318
0.0829311,0.985537,0.923567
0.0853981,0.985529,0.923922
0.0878652,0.985471,0.924248
0.0903322,0.985366,0.924574
0.0927992,0.985261,0.9249
0.0952662,0.985156,0.925226
0.0977332,0.985031,0.925552
0.1002,0.984839,0.925839
0.102667,0.984647,0.926107
0.105134,0.984455,0.926375
0.107601,0.984263,0.926644
0.110068,0.984037,0.926912
0.112535,0.983768,0.92718
0.115002,0.983498,0.927448
0.117469,0.983228,0.92767
0.119936,0.982959,0.927881
0.122403,0.982686,0.928093
0.12487,0.982348,0.928305
0.127337,0.98201,0.928516
0.129804,0.981672,0.928728
0.132271,0.981334,0.928939
0.134738,0.980996,0.92912
0.137205,0.980658,0.929278
0.139672,0.980261,0.929436
0.14214,0.979862,0.929594
0.144607,0.979464,0.929751
0.147074,0.979066,0.929909
0.149541,0.978668,0.930067
0.152008,0.978269,0.93022
0.154475,0.97786,0.930325
0.156942,0.977407,0.930431
0.159409,0.976954,0.930537
0.161876,0.976501,0.930643
0.164343,0.976048,0.930749
0.16681,0.975595,0.930855
0.169277,0.975142,0.930961
0.171744,0.974689,0.931037
0.174211,0.974208,0.931093
0.176678,0.973706,0.931148
0.179145,0.973205,0.931204
0.181612,0.972703,0.93126
0.184079,0.972201,0.931315
0.186546,0.9717,0.931371
0.189013,0.971198,0.931414
0.19148,0.970689,0.931421
0.193947,0.97014,0.931429
0.196414,0.969592,0.931436
0.198881,0.969044,0.931444
0.201348,0.968496,0.931451
0.203815,0.967948,0.931458
0.206282,0.9674,0.931446
0.208749,0.966852,0.931404
0.211216,0.966304,0.931361
0.213683,0.965711,0.931318
0.21615,0.965117,0.931276
0.218617,0.964523,0.931233
0.221084,0.963928,0.93119
0.223551,0.963334,0.931147
0.226018,0.962739,0.931059
0.228485,0.962145,0.930964
