# source: refs/2109.03591.pdf page 8, frame (117.25, 92.06, 287.23, 202.45)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_F2_nlo: colour=(1.0, 0.0, 0.0) dash='[] 0' points=63 x=[0.0467, 0.9114]
# curve R_gluon_nlo: colour=(1.0, 0.0, 0.0) dash='[ 2.8176797 1.218456 ] 0' points=52 x=[0.0467, 0.8179]
# curve R_F2_nnlo: colour=(0.0, 0.0, 1.0) dash='[] 0' points=58 x=[0.0467, 0.9114]
# curve R_gluon_nnlo: colour=(0.0, 0.0, 1.0) dash='[ 2.8176797 1.218456 ] 0' points=49 x=[0.0467, 0.8062]
# x,R_F2_nlo,R_gluon_nlo,R_F2_nnlo,R_gluon_nnlo
0.0467489,1.03006,0.997275,1.02866,0.994514
0.049289,1.03168,0.996411,1.02897,0.993602
0.0518291,1.03331,0.995547,1.02929,0.99269
0.0543693,1.03493,0.994683,1.02973,0.991778
0.0569094,1.03655,0.993819,1.03023,0.990866
0.0594495,1.03806,0.992955,1.03073,0.989954
0.0619896,1.0394,0.992092,1.03123,0.989041
0.0645297,1.04074,0.991228,1.03173,0.988129
0.0670698,1.04208,0.990364,1.03232,0.987217
0.0696099,1.04342,0.9895,1.03291,0.986305
0.07215,1.04454,0.988636,1.0335,0.985393
0.0746902,1.04561,0.987772,1.03408,0.984481
0.0772303,1.04667,0.986908,1.03467,0.983569
0.0797704,1.04773,0.986044,1.03526,0.982656
0.0823105,1.04874,0.98518,1.03585,0.981744
0.0848506,1.04953,0.984317,1.03644,0.980832
0.0873907,1.05032,0.983453,1.03702,0.97992
0.0899308,1.05112,0.982567,1.03761,0.979008
0.0924709,1.05191,0.981679,1.0382,0.978096
0.0950111,1.05254,0.980791,1.03879,0.977184
0.0975512,1.05308,0.979904,1.03937,0.976271
0.100091,1.05361,0.978865,1.0399,0.975228
0.102631,1.05414,0.977474,1.04029,0.97388
0.105172,1.05467,0.976084,1.04068,0.972532
0.107712,1.05501,0.975162,1.04107,0.971592
0.110252,1.05534,0.974239,1.04146,0.970651
0.112792,1.05554,0.973317,1.04172,0.96971
0.115332,1.05568,0.972395,1.04193,0.968769
0.117872,1.05583,0.971473,1.04214,0.967829
0.120412,1.05597,0.970551,1.04235,0.966888
0.122952,1.0561,0.969628,1.04254,0.965947
0.125492,1.05606,0.968706,1.04256,0.965007
0.128033,1.05602,0.967784,1.04257,0.964066
0.130573,1.05598,0.966862,1.04259,0.963125
0.133113,1.05594,0.965939,1.0426,0.962184
0.135653,1.05581,0.965017,1.04252,0.961244
0.138193,1.05558,0.964095,1.04233,0.960303
0.140733,1.05536,0.963173,1.04214,0.959362
0.143273,1.05513,0.962251,1.04196,0.958422
0.145813,1.05491,0.961328,1.04177,0.957481
0.148353,1.05453,0.960406,1.04141,0.95654
0.150894,1.05414,0.959484,1.04103,0.955599
0.153434,1.05375,0.958562,1.04065,0.954659
0.155974,1.05336,0.95764,1.04027,0.953718
0.158514,1.05292,0.956717,1.03984,0.952777
0.161054,1.05239,0.955795,1.03928,0.951837
0.163594,1.05185,0.954873,1.03872,0.950896
0.166134,1.05131,0.953958,1.03816,0.949955
0.168674,1.05078,0.953043,1.0376,0.949014
0.171214,1.05015,0.952128,1.03692,0.948074
0.173755,1.04948,0.951213,1.0362,0.947133
0.176295,1.04882,0.950298,1.03548,0.946192
0.178835,1.04815,0.949383,1.03476,0.945252
0.181375,1.04747,0.948468,1.03402,0.944311
0.183915,1.04669,0.947553,1.03316,0.94337
0.186455,1.04591,0.946638,1.0323,0.942429
0.188995,1.04513,0.945723,1.03143,0.941489
0.191535,1.04435,0.944808,1.03057,0.940548
0.194075,1.04351,0.943892,1.02965,0.939607
0.196616,1.0426,0.942977,1.02867,0.938667
0.199156,1.0417,0.942062,1.02769,0.937726
0.201696,1.0408,0.941147,1.02671,0.936785
0.204236,1.03989,0.940232,1.02573,0.935845
0.206776,1.03899,0.939317,1.02465,0.934904
0.209316,1.03808,0.938402,1.02356,0.933963
0.211856,1.0371,0.937487,1.02246,0.933022
0.214396,1.03607,0.936572,1.02137,0.932082
0.216936,1.03504,0.935657,1.02028,0.931141
0.219477,1.03401,0.934742,1.01919,0.9302
0.222017,1.03298,0.933827,1.01809,0.92926
0.224557,1.03196,0.932912,1.0169,0.928319
0.227097,1.03093,0.931997,1.0157,0.927378
0.229637,1.02982,0.931082,1.01451,0.926437
0.232177,1.02869,0.930167,1.01331,0.925497
0.234717,1.02755,0.929252,1.01212,0.924581
0.237257,1.02642,0.928337,1.01092,0.923703
0.239797,1.02529,0.927426,1.00973,0.922825
0.242338,1.02415,0.926551,1.00853,0.921948
0.244878,1.02302,0.925677,1.00733,0.92107
0.247418,1.02182,0.924803,1.00611,0.920192
0.249958,1.0206,0.923928,1.00488,0.919314
0.252498,1.01938,0.923054,1.00365,0.918436
0.255038,1.01816,0.922179,1.00242,0.917559
0.257578,1.01694,0.921305,1.00118,0.916681
0.260118,1.01572,0.920431,0.999952,0.915803
0.262658,1.0145,0.919556,0.99872,0.914925
0.265199,1.01321,0.918682,0.997489,0.914047
0.267739,1.01191,0.917807,0.996257,0.913169
0.270279,1.01061,0.916933,0.995025,0.912321
0.272819,1.00931,0.916058,0.993794,0.911493
0.275359,1.00801,0.915184,0.992562,0.910664
0.277899,1.00672,0.91431,0.99133,0.909836
0.280439,1.00542,0.913435,0.990099,0.909007
0.282979,1.00412,0.912606,0.988867,0.908179
0.285519,1.00282,0.911777,0.987636,0.90735
0.28806,1.00147,0.910949,0.986404,0.906522
0.2906,1.0001,0.91012,0.985172,0.905693
0.29314,0.998723,0.909291,0.983941,0.904865
0.29568,0.997351,0.908462,0.982709,0.904036
0.29822,0.995978,0.907633,0.981477,0.903208
0.30076,0.994606,0.906804,0.980246,0.90238
0.3033,0.993233,0.905975,0.979014,0.901551
0.30584,0.99186,0.905146,0.977783,0.900767
0.30838,0.990488,0.904317,0.976551,0.899994
0.310921,0.989115,0.903489,0.975319,0.899221
0.313461,0.987743,0.90266,0.974088,0.898448
