# source: refs/2109.03591.pdf page 8, frame (319.3, 92.45, 488.83, 202.55)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_g1: colour=(1.0, 0.0, 0.0) dash='[] 0' points=66 x=[0.0500, 0.9097]
# curve R_deltag: colour=(1.0, 0.0, 0.0) dash='[ 2.8102425 1.21524 ] 0' points=56 x=[0.0476, 0.8259]
# x,R_g1,R_deltag
0.0500208,0.80618,0.802012
0.0526157,0.806018,0.80291
0.0552106,0.805986,0.803808
0.0578055,0.806553,0.804707
0.0604004,0.80712,0.805549
0.0629953,0.807688,0.806297
0.0655902,0.808255,0.807045
0.0681851,0.808822,0.807792
0.07078,0.809454,0.80854
0.0733749,0.810112,0.80919
0.0759698,0.81077,0.809815
0.0785647,0.811427,0.810439
0.0811596,0.812085,0.811063
0.0837545,0.812743,0.811665
0.0863494,0.813401,0.812184
0.0889443,0.814142,0.812703
0.0915392,0.814992,0.813221
0.0941341,0.815578,0.81374
0.096729,0.816002,0.813858
0.0993239,0.816189,0.813745
0.101919,0.816316,0.813793
0.104514,0.81692,0.814152
0.107109,0.817536,0.814511
0.109704,0.818152,0.81487
0.112298,0.818768,0.815228
0.114893,0.819384,0.815587
0.117488,0.82,0.815946
0.120083,0.820616,0.816232
0.122678,0.820995,0.816436
0.125273,0.82127,0.81664
0.127868,0.821781,0.816845
0.130463,0.822325,0.817049
0.133058,0.822869,0.817254
0.135653,0.823413,0.817458
0.138247,0.823957,0.817662
0.140842,0.824501,0.817867
0.143437,0.825044,0.818071
0.146032,0.825546,0.818276
0.148627,0.826019,0.818477
0.151222,0.826491,0.818572
0.153817,0.826964,0.818666
0.156412,0.827437,0.81876
0.159007,0.827909,0.818855
0.161602,0.828382,0.818949
0.164196,0.82883,0.819043
0.166791,0.829225,0.819126
0.169386,0.829621,0.819144
0.171981,0.830016,0.819163
0.174576,0.830411,0.819181
0.177171,0.830806,0.8192
0.179766,0.831202,0.819218
0.182361,0.831594,0.819237
0.184956,0.8319,0.819236
0.187551,0.832205,0.819187
0.190145,0.832511,0.819138
0.19274,0.832817,0.819089
0.195335,0.833122,0.81904
0.19793,0.833428,0.818991
0.200525,0.833734,0.818942
0.20312,0.833965,0.81887
0.205715,0.834173,0.818763
0.20831,0.83438,0.818657
0.210905,0.834587,0.81855
0.2135,0.834794,0.818444
0.216094,0.835001,0.818337
0.218689,0.835208,0.818231
0.221284,0.835366,0.818094
0.223879,0.83547,0.817931
0.226474,0.835573,0.817768
0.229069,0.835676,0.817605
0.231664,0.83578,0.817443
0.234259,0.835883,0.81728
0.236854,0.835986,0.817117
0.239449,0.83607,0.816954
0.242043,0.836069,0.816791
0.244638,0.836067,0.816609
0.247233,0.836065,0.816395
0.249828,0.836064,0.816181
0.252423,0.836062,0.815967
0.255018,0.836061,0.815753
0.257613,0.836059,0.815539
0.260208,0.835965,0.815325
0.262803,0.835861,0.815112
0.265398,0.835757,0.814898
0.267992,0.835653,0.814674
0.270587,0.835549,0.814417
0.273182,0.835445,0.814161
0.275777,0.835341,0.813904
0.278372,0.835174,0.813647
0.280967,0.83497,0.813391
0.283562,0.834765,0.813134
0.286157,0.834561,0.812877
0.288752,0.834356,0.812621
0.291347,0.834152,0.812364
0.293941,0.833947,0.812107
0.296536,0.833712,0.811851
0.299131,0.833418,0.811594
0.301726,0.833123,0.811337
0.304321,0.832829,0.811075
0.306916,0.832534,0.810806
0.309511,0.83224,0.810538
0.312106,0.831946,0.810269
0.314701,0.831646,0.810001
0.317296,0.831272,0.809732
0.31989,0.830897,0.809464
0.322485,0.830523,0.809195
0.32508,0.830148,0.808926
0.327675,0.829774,0.808658
0.33027,0.829399,0.808389
0.332865,0.829025,0.808121
0.33546,0.828591,0.807852
0.338055,0.82814,0.807584
0.34065,0.82769,0.807315
0.343245,0.827239,0.807047
0.345839,0.826788,0.806778
0.348434,0.826338,0.80651
0.351029,0.825887,0.806241
0.353624,0.825437,0.805972
0.356219,0.824986,0.805704
0.358814,0.824488,0.805435
0.361409,0.823967,0.805167
0.364004,0.823445,0.804898
0.366599,0.822924,0.80463
0.369194,0.822403,0.804361
0.371788,0.821882,0.804093
0.374383,0.821361,0.803824
0.376978,0.82084,0.803555
0.379573,0.820319,0.803287
0.382168,0.819798,0.803018
0.384763,0.819277,0.80275
0.387358,0.818714,0.802481
0.389953,0.818138,0.802213
0.392548,0.817562,0.801944
0.395143,0.816986,0.801676
0.397737,0.81641,0.801407
0.400332,0.815833,0.801139
0.402927,0.815257,0.80087
0.405522,0.814681,0.800601
0.408117,0.814105,0.800333
0.410712,0.813529,0.800064
0.413307,0.812953,0.799796
0.415902,0.812377,0.799527
0.418497,0.811801,0.799259
0.421092,0.811225,0.79899
0.423686,0.810648,0.798782
0.426281,0.810067,0.798599
0.428876,0.809487,0.798416
0.431471,0.808907,0.798233
0.434066,0.808327,0.79805
0.436661,0.807746,0.797867
